Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
175.03276965932886,227.51588729556767,227.51588729556767,227.51588729556767,227.51588729556767,227.51588729556767,10,13,227.51588729556767,2018,544.0,238.3,172.2,544.0,9.9,201.36557103750343
175.03276965932886,227.51588729556767,227.51588729556767,227.51588729556767,227.51588729556767,278.8729436477838,21,22,227.51588729556767,2016,260.0,191.7,101.0,260.0,9.4,230.6324685855438
175.03276965932886,199.99794364778384,227.51588729556767,227.51588729556767,227.51588729556767,243.40862909852254,20,19,227.51588729556767,2016,169.0,153.8,75.6,169.0,8.5,298.73345945235684
175.03276965932886,217.33529576518922,239.76294364778383,239.76294364778383,239.76294364778383,245.5589718238919,20,19,227.51588729556767,2016,126.0,145.5,72.5,126.0,8.5,230.6324685855438
175.03276965932886,278.8729436477838,278.8729436477838,278.8729436477838,278.8729436477838,221.77317745911355,10,13,278.8729436477838,2016,175.15885482645047,259.0,167.0,175.15885482645047,8.9,201.36557103750343
175.03276965932886,194.65897182389193,227.51588729556767,227.51588729556767,227.51588729556767,224.15931454926127,21,22,239.7629436477838,2015,166.0,153.3,78.8,166.0,8.5,255.05575820092722
175.03276965932886,203.33317745911353,202.0519624318559,202.0519624318559,202.0519624318559,226.14084104222394,20,19,177.0729436477838,2016,175.15885482645047,154.0,77.0,175.15885482645047,10.0,255.05575820092722
175.03276965932886,202.9076478825946,201.73397182389192,227.51588729556767,201.73397182389192,222.97073591194595,21,22,227.51588729556767,2016,125.0,145.7,71.2,125.0,8.4,255.05575820092722
175.03276965932886,264.61196243185594,264.61196243185594,264.61196243185594,264.61196243185594,210.84065414395195,10,13,264.61196243185594,2015,353.0,217.9,127.0,353.0,8.6,212.82538461538462
175.03276965932886,190.1779838993668,199.9979436477838,227.51588729556767,232.77294364778385,224.78358872955678,21,22,227.51588729556767,2015,150.0,156.5,75.9,150.0,8.4,282.92884724848136
175.03276965932886,194.15198591194596,184.14717745911352,201.73397182389192,184.14717745911352,224.52780793596068,20,19,184.97529576518923,2015,142.0,136.0,66.5,142.0,9.6,230.6324685855438
175.03276965932886,227.51588729556767,172.5476478825946,184.29717745911353,286.02647182389194,215.36299060796398,20,19,227.51588729556767,2015,142.0,136.0,66.5,142.0,9.6,230.6324685855438
175.03276965932886,185.30732081061862,160.78941247079538,168.62098121592794,172.5476478825946,205.73814517658212,20,19,167.3689718238919,2015,165.0,156.3,77.5,165.0,8.9,255.05575820092722
175.03276965932886,186.95558872955675,165.91448591194595,173.35941247079538,176.72512675650964,205.45613480682624,20,19,174.25317745911352,2015,145.0,144.0,70.3,145.0,8.9,230.6324685855438
175.03276965932886,286.02647182389194,286.02647182389194,286.02647182389194,246.86917745911356,202.14905915303783,10,13,286.02647182389194,2015,540.0,260.0,176.0,540.0,9.7,201.36557103750343
175.03276965932886,279.80117745911355,279.80117745911355,279.80117745911355,248.2076478825946,205.44599295597297,10,13,279.80117745911355,2015,355.0,213.9,127.7,355.0,9.5,201.36557103750343
175.03276965932886,263.4976478825946,263.4976478825946,263.4976478825946,238.74655532793824,204.06564042915102,10,13,263.4976478825946,2014,508.0,256.5,170.2,508.0,10.2,201.36557103750343
175.03276965932886,253.75512675650967,253.75512675650967,253.75512675650967,233.31573591194595,203.57866040530928,10,13,253.75512675650967,2014,508.0,256.5,170.2,508.0,10.2,201.36557103750343
175.03276965932886,184.1278079359607,207.3219624318559,227.51588729556767,227.51588729556767,205.35241512081933,21,22,227.51588729556767,2015,110.0,143.5,69.8,110.0,8.0,282.92884724848136
175.03276965932886,158.87794364778384,164.7962096995075,213.78794364778383,233.7562096995075,205.0877943647784,21,22,227.51588729556767,2015,118.0,154.0,86.0,118.0,6.4,230.6324685855438
175.03276965932886,151.66862909852253,162.04158872955674,188.27529576518927,224.1055887295568,201.85742320455086,21,22,182.38294364778383,2015,120.0,125.3,64.0,120.0,9.6,201.36557103750343
175.03276965932886,137.82147182389193,156.06326248141525,165.2764718238919,212.48508066323345,197.0584494225258,21,22,227.51588729556767,2015,119.0,124.9,64.0,119.0,9.6,230.6324685855438
175.03276965932886,185.45549060796395,149.97965727463063,148.83317745911353,213.78794364778383,192.1019950998073,21,22,170.65794364778384,2015,145.0,136.0,66.7,145.0,9.9,230.6324685855438
175.03276965932886,181.2973759458129,205.5064718238919,145.92764788259464,227.51588729556767,189.57274530398203,21,22,213.78794364778383,2014,116.0,143.0,69.0,116.0,7.8,255.05575820092722
175.03276965932886,126.86917745911356,148.55045286888983,154.88226961365254,201.6996572746306,190.33423549182274,21,22,153.6819624318559,2014,150.0,145.0,73.0,150.0,8.8,230.6324685855438
175.03276965932886,183.2482776639691,232.77294364778385,154.65073591194596,227.51588729556767,188.8994572036757,21,22,171.1859812159279,2014,164.0,153.3,80.4,164.0,8.5,255.05575820092722
175.03276965932886,131.2293145492613,206.12717745911354,166.44843192172974,197.95583748427447,191.56355138131732,21,22,153.51897182389195,2014,110.0,140.5,69.0,110.0,7.5,255.05575820092722
175.03276965932886,138.32084104222395,227.51588729556767,170.65794364778384,196.73542052111196,191.18163883198457,21,22,158.98917745911353,2014,155.0,147.3,73.0,155.0,9.9,230.6324685855438
175.03276965932886,188.42039248637118,242.1252957651892,167.89058872955675,186.32529576518922,191.74882369984718,21,22,212.0619624318559,2014,155.0,147.0,72.0,155.0,9.5,230.6324685855438
175.03276965932886,146.98448591194597,148.87042052111198,171.30326248141523,197.4617258197045,192.20486290985227,21,22,167.09598121592796,2014,130.0,126.0,65.0,130.0,10.3,201.36557103750343
175.03276965932886,251.69573591194597,251.69573591194597,251.69573591194597,191.19911795597295,189.14212539663123,10,13,251.69573591194597,2014,360.0,215.0,130.0,360.0,8.5,201.36557103750343
175.03276965932886,141.45954303284086,227.51588729556767,171.17073591194597,192.10328748797457,189.6867464779865,20,19,157.11941247079537,2014,298.0,164.0,46.0,298.0,8.9,201.36557103750343
175.03276965932886,138.79658872955676,171.17294364778382,164.91065414395197,187.81032707197596,187.41836022107782,20,19,151.83323591194596,2014,298.0,164.0,46.0,298.0,8.9,201.36557103750343
175.03276965932886,246.6817652550631,246.6817652550631,246.6817652550631,186.2813624892404,186.57546727339906,10,13,246.6817652550631,2014,175.15885482645047,164.0,46.0,175.15885482645047,8.9,201.36557103750343
175.03276965932886,140.61144429959705,201.9176478825946,164.29558872955675,181.6377943647784,183.9135967798734,20,19,152.6028763661742,2014,175.15885482645047,138.0,69.0,175.15885482645047,8.9,230.6324685855438
175.03276965932886,149.30799060796397,145.4297258197045,171.62962611777886,184.65361368074133,185.60960798043246,20,19,161.83958872955674,2014,134.0,136.0,68.0,134.0,9.0,230.6324685855438
175.03276965932886,153.78122209965906,149.30661795597297,174.615490607964,185.69026760434397,186.20015911609644,20,19,165.98689884505163,2014,122.0,124.0,64.0,122.0,9.7,230.6324685855438
175.03276965932886,150.33756337825483,232.9514718238919,169.30429902273596,182.20677770850295,184.0783128235676,20,19,160.95215727463065,2014,323.0,199.0,122.3,323.0,11.4,201.36557103750343
175.03276965932886,231.35458872955678,231.35458872955678,231.35458872955678,180.35482863731534,182.89066377680945,10,13,231.35458872955678,2014,315.0,198.1,121.9,315.0,10.2,201.36557103750343
175.03276965932886,219.8859897541425,219.8859897541425,219.8859897541425,177.3486354918227,180.94839718238921,10,13,219.8859897541425,2014,380.0,203.0,138.4,380.0,8.2,201.36557103750343
175.03276965932886,149.49905915303785,208.06798389936677,165.13299060796396,175.77138028059878,179.86038749501387,21,22,159.16814517658213,2014,150.0,145.5,73.5,150.0,8.8,230.6324685855438
175.03276965932886,189.48349295597296,213.9131774591135,165.53891440735137,227.51588729556767,179.6353782689421,21,22,227.51588729556767,2013,229.0,166.0,86.2,229.0,9.0,282.92884724848136
175.03276965932886,150.80599295597298,227.51588729556767,178.14684909254055,175.5728106405766,183.41246249524576,21,22,155.28794364778383,2013,120.0,109.0,60.0,120.0,10.4,230.6324685855438
175.03276965932886,147.97034631150396,146.73387572326868,173.11039248637118,172.96663883198457,181.5758156203538,21,22,158.87794364778384,2013,195.0,163.0,83.0,195.0,9.6,282.92884724848136
