Brand,url,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,https://www.gsmarena.com/acer_liquid_z520-7073.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, March. Released 2015, April",118.0,154.0,86.0,118.0,6.4,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_z220-7074.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, March. Released 2015, April",120.0,125.3,64.0,120.0,9.6,Accelerometer
Acer,https://www.gsmarena.com/acer_liquid_m220-7071.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, May",119.0,124.9,64.0,119.0,9.6,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_z410-6912.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA, LTE Cat4 150/50 Mbps","2015, January. Released 2015, February",145.0,136.0,66.7,145.0,9.9,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_jade_s-6864.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"3, 8, 28 - Taiwan",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, December. Released 2014, December",116.0,143.0,69.0,116.0,7.8,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_z500-6635.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2014, September. Released 2014, Septeber",150.0,145.0,73.0,150.0,8.8,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_x1-6419.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7",,,,"HSPA, LTE","2014, June. Released 2014, September",164.0,153.3,80.4,164.0,8.5,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_jade-6423.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, July",110.0,140.5,69.0,110.0,7.5,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_e700-6420.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, August",155.0,147.3,73.0,155.0,9.9,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_e600-6421.php,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, June. Released 2014, September",155.0,147.0,72.0,155.0,9.5,"Accelerometer, proximity"
