Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,"3, 8, 28 - Taiwan",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, December. Released 2014, December",116.0,143.0,69.0,7.8,"Accelerometer, proximity, compass",201.4
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2014, September. Released 2014, Septeber",150.0,145.0,73.0,8.8,"Accelerometer, proximity",158.61
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"3, 7",,,,"HSPA, LTE","2014, June. Released 2014, September",164.0,153.3,80.4,8.5,"Accelerometer, proximity, compass",263.03
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, July",110.0,140.5,69.0,7.5,"Accelerometer, proximity, compass",180.83
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, August",155.0,147.3,73.0,9.9,"Accelerometer, proximity",200.87
Acer,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 3, 7, 20",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, June. Released 2014, September",155.0,147.0,72.0,9.5,"Accelerometer, proximity",207.63
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2014, June. Released 2014, September",130.0,126.0,65.0,10.3,Accelerometer,95.43
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, June. Released 2014, September",360.0,215.0,130.0,8.5,Accelerometer,207.26
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,"2014, April. Released 2014, August",298.0,,,8.9,Accelerometer,116.57
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,,,Yes,Yes,HSPA,"2014, April. Released 2014, August",298.0,,,8.9,Accelerometer,154.83
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, April. Released 2014, June",,,,8.9,Accelerometer,98.76
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, HSDPA,,,Yes,Yes,HSPA,"2014, Q3. Released 2014, Q3",,138.0,69.0,8.9,"Accelerometer, proximity",243.41
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,"2014, February. Released 2014, April",134.0,136.0,68.0,9.0,"Accelerometer, proximity",204.97
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,,,Yes,Yes,HSPA,"2014, February. Released 2014, April",122.0,124.0,64.0,9.7,"Accelerometer, proximity",107.46
Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 , HSDPA,,,Yes,Yes,HSPA,"2014, January. Released 2014, January",323.0,199.0,122.3,11.4,Accelerometer,135.57
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, January. Released 2014, January",315.0,198.1,121.9,10.2,Accelerometer,107.76
Acer,No cellular connectivity, N/A,,,,No,No,,"2014, January. Released 2014, March",380.0,203.0,138.4,8.2,Accelerometer,135.2
