Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, Q4",,142.5,71.5,,8.6,"Accelerometer, proximity"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2015, September. Released 2015, Q4",,141.0,71.5,,8.6,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 4, 5, 7, 17",,,,"HSPA, LTE","2015, September. Released 2015, December",,143.3,73.3,,9.2,Yes
alcatel,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2014, September. Released 2014, September",,152.1,76.2,,8.1,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional), HSDPA,,,Yes,Yes,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, May",,112.2,62.0,,11.9,Accelerometer
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, March. Released 2015, October",,,,,,Accelerometer
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, February",100.0,112.2,62.0,100.0,11.9,Accelerometer
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20 - 7044Y",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2015, May",151.0,141.0,71.5,151.0,8.9,"Accelerometer, proximity/ compass (7044Y)"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20 - 7043Y, 7043K",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2015, May",170.0,141.0,71.5,170.0,9.7,"Accelerometer, proximity"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2014, September. Released 2015, May",125.0,121.5,64.4,125.0,12.4,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 - 6038Y,"1, 3, 7, 8, 20 - 6038X, 6038Y",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, February",126.0,129.5,63.5,126.0,8.5,"Accelerometer, proximity, compass"
alcatel,GSM,GSM 900 / 1800 - 2000X,,,,Yes,No,,"2013, November. Released 2013, November",89.0,112.0,61.5,89.0,12.8,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2014, January. Released 2014, Q2",325.0,209.0,123.0,325.0,7.9,
alcatel,No cellular connectivity, N/A,,,,No,No,,"2013, September. Released 2014, Q2",415.0,222.0,152.5,415.0,9.0,
alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,"1, 2, 4, 5, 17 - 7030Y",,,,"HSPA, LTE Cat3 100/50 Mbps","2013, February. Released 2013, July",,134.0,69.6,,10.9,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA 42.2/11.5 Mbps (Single SIM model),"2013, February. Released 2013, June",,130.3,67.0,,9.0,"Accelerometer, proximity, compass"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,,,,,,,"Accelerometer, proximity"
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2012. Released 2012,,124.0,64.2,,10.7,Accelerometer
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,No,,"2012, August. Released 2012, August",,98.0,54.0,,12.7,
alcatel,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 (Alcatel OT-819D only),,,,Yes,Yes,,2012. Released 2012,103.0,115.0,61.0,103.0,13.0,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,"2012, March. Released 2012, March",126.0,106.0,58.0,126.0,12.3,
alcatel,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,No,,"2012, April. Released 2012, April",101.0,88.0,58.0,101.0,15.5,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2012, February. Released 2012, February",76.0,103.0,58.0,76.0,11.9,
alcatel,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 10,No,,"2012, January. Released 2012, January",71.0,109.0,46.0,71.0,14.0,
alcatel,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 10,No,,"2012, March. Released 2012, March",71.0,109.0,46.0,71.0,14.0,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,"2012, February. Released 2012, February",67.0,94.0,45.0,67.0,18.0,
