BrandName,NumberOfPhone,BrandUrl
Toshiba,35,https://www.gsmarena.com/toshiba-phones-44.php
Ulefone,82,https://www.gsmarena.com/ulefone-phones-124.php
Unnecto,30,https://www.gsmarena.com/unnecto-phones-91.php
Vertu,17,https://www.gsmarena.com/vertu-phones-39.php
verykool,139,https://www.gsmarena.com/verykool-phones-70.php
vivo,395,https://www.gsmarena.com/vivo-phones-98.php
VK Mobile,31,https://www.gsmarena.com/vk_mobile-phones-37.php
Vodafone,87,https://www.gsmarena.com/vodafone-phones-53.php
Wiko,98,https://www.gsmarena.com/wiko-phones-96.php
WND,5,https://www.gsmarena.com/wnd-phones-51.php
XCute,4,https://www.gsmarena.com/xcute-phones-43.php
Xiaomi,360,https://www.gsmarena.com/xiaomi-phones-80.php
XOLO,81,https://www.gsmarena.com/xolo-phones-85.php
Yezz,113,https://www.gsmarena.com/yezz-phones-78.php
Yota,3,https://www.gsmarena.com/yota-phones-99.php
YU,13,https://www.gsmarena.com/yu-phones-100.php
ZTE,363,https://www.gsmarena.com/zte-phones-62.php
